"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52101-54140","RB","Dalvin","Dalvin Cook","Cook","23.7","10","10500","JAC@MIN","MIN","JAC","Q","Ankle","","",""
"52101-39280","RB","Derrick","Derrick Henry","Henry","19.454545454545453","11","10000","CLE@TEN","TEN","CLE","","","","",""
"52101-45889","WR","Davante","Davante Adams","Adams","21.311111450195312","9","9500","PHI@GB","GB","PHI","","","","",""
"52101-22015","QB","Russell","Russell Wilson","Wilson","25.685455322265625","11","9000","NYG@SEA","SEA","NYG","","","","",""
"52101-53562","RB","Nick","Nick Chubb","Chubb","14.225000381469727","8","8700","CLE@TEN","CLE","TEN","","","","",""
"52101-63484","QB","Kyler","Kyler Murray","Murray","27.32363614169034","11","8700","LAR@ARI","ARI","LAR","Q","Shoulder - ac joint","","",""
"52101-73048","WR","DK","DK Metcalf","Metcalf","16.80909035422585","11","8500","NYG@SEA","SEA","NYG","","","","",""
"52101-6894","QB","Aaron","Aaron Rodgers","Rodgers","23.89999944513494","11","8500","PHI@GB","GB","PHI","","","","",""
"52101-64555","WR","Calvin","Calvin Ridley","Ridley","15.210000610351562","10","8400","NO@ATL","ATL","NO","Q","Foot","","",""
"52101-40442","RB","Aaron","Aaron Jones","Jones","17","9","8400","PHI@GB","GB","PHI","","","","",""
"52101-72846","WR","A.J.","A.J. Brown","Brown","15.311111450195312","9","8200","CLE@TEN","TEN","CLE","Q","Hip","","",""
"52101-54879","QB","Deshaun","Deshaun Watson","Watson","23.849090576171875","11","8200","IND@HOU","HOU","IND","","","","",""
"52101-29253","WR","Keenan","Keenan Allen","Allen","15.454545454545455","11","8100","NE@LAC","LAC","NE","","","","",""
"52101-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","14.290908813476562","11","8000","LAR@ARI","ARI","LAR","","","","",""
